Country,Elect,Gobierno,Particip,Liciv
 United States,"9,17","6,43","8,89","8,53"
 Poland,"9,17","6,07","6,67","6,47"
 Croatia,"9,17","6,07","6,11","6,76"
 Romania,"9,17","6,07","6,11","7,06"
 Colombia,"9,17","5,71","6,11","7,65"
 Cyprus,"9,17","5,36","7,22","8,53"
 Bulgaria,"9,17","5,36","7,22","7,06"
 Argentina,"9,17",5,"7,22","7,65"
 Philippines,"9,17",5,"7,78","6,76"
 Dominican Republic,"9,17",5,"6,67","7,06"
 Lesotho,"9,17","4,14","6,11","6,47"
 El Salvador,"9,17","3,93","5,56","6,18"
 Jamaica,"8,75","7,14",5,"8,53"
 Bhutan,"8,75","6,79","3,33","4,71"
 Mongolia,"8,75","5,71","6,11","5,88"
 Peru,"8,75","5,36","5,56","7,06"
 Paraguay,"8,75","5,36",5,"7,06"
 Ecuador,"8,75",5,"6,11","6,18"
 Honduras,"8,75","3,93","4,44","5,88"
 India,"8,67","7,5","7,22","6,18"
 Hungary,"8,33","6,43",5,"6,47"
 Ghana,"8,33","5,36","6,67","5,88"
 Serbia,"8,25","6,07","6,67","7,06"
 Ukraine,"8,25","2,36","6,67","5,59"
 Indonesia,"7,92","7,86","7,22","6,18"
 Madagascar,"7,92","3,57","6,67","4,71"
 Armenia,"7,5","5,71","6,11",5
 Tunisia,"7,5","4,64","7,22","5,59"
 Zambia,"7,5","3,64",5,"5,59"
 South Africa,"7,42","7,14","8,33","7,35"
 North Macedonia,"7,42","6,43","6,11","7,06"
 Montenegro,"7,42","6,43","6,67","6,47"
 Bangladesh,"7,42","6,07","5,56","5,29"
 Georgia,"7,42","3,57","5,56","5,29"
 Liberia,"7,42","2,71","6,11","5,29"
 Albania,7,"6,43","4,44","7,06"
 Sri Lanka,7,"5,71","5,56","6,18"
 Moldova,7,"5,71","6,67","6,76"
 Namibia,7,"5,36","6,67","7,94"
 Thailand,7,5,"6,67","5,29"
 Malawi,7,"4,29",5,"6,18"
 Bosnia and Herzegovina,7,"3,29","5,56","5,59"
 Guyana,"6,92","6,07","5,56","7,06"
 Papua New Guinea,"6,92","6,07","3,89","7,35"
 Mexico,"6,92",5,"7,22","5,59"
 Guatemala,"6,92","3,93","3,89","5,88"
 Fiji,"6,58",5,"5,56","5,29"
 Sierra Leone,"6,58","2,86","3,89","5,29"
 Senegal,"5,67","5,71","4,44","5,59"
 Pakistan,"5,67","5,36","3,33","4,71"
 Morocco,"5,25","4,64","5,56","4,12"
 Iraq,"5,25",0,"6,11","1,18"
 Nigeria,"5,17","3,93","3,89","3,82"
 Guinea-Bissau,"4,92",0,"3,33","2,35"
 Singapore,"4,83","8,21","4,44","6,18"
 Tanzania,"4,83",5,5,"4,41"
   Nepal,"4,83",5,"4,44","5,29"
 Bolivia,"4,75","4,29","6,11","5,59"
 Ivory Coast,"4,33","2,86","4,44","3,82"
 Kyrgyzstan,"4,33","1,5","4,44","4,71"
 Gambia,"3,58","4,29","4,44","4,12"
 Kuwait,"3,58","3,93","4,44","3,24"
 Kenya,"3,5","5,36","6,67","4,12"
 Turkey,"3,5",5,"5,56","2,06"
 Mauritania,"3,5","3,57","5,56","4,41"
 Lebanon,"3,5","1,14","6,67","4,12"
 Uganda,"3,42","3,21","3,89",5
 Palestine,"3,33","0,14","8,33","3,53"
 Algeria,"3,08","2,5","4,44","3,82"
 Haiti,"3,08",0,"2,78","5,29"
 Burkina Faso,3,"2,36",5,"3,82"
 Hong Kong,"2,75","3,64","5,56","8,53"
 Jordan,"2,67","3,93","3,89","3,24"
 Mozambique,"2,58","1,43",5,"3,53"
 Mali,"2,42",0,"5,56","3,82"
 Gabon,"2,17","1,86","4,44","3,53"
 Comoros,"2,08","2,21","4,44","3,53"
 Niger,2,"1,14","3,89","4,71"
 Russia,"1,75","2,14","4,44","4,12"
 Benin,"1,67","5,36","3,89","4,41"
 Qatar,"1,5","4,29","3,33","3,53"
 Rwanda,"1,42","4,29","2,78","2,65"
 Egypt,"1,33","3,21","3,33","1,76"
 Angola,"1,33","2,86",5,"2,65"
 Guinea,"1,25","0,43","3,33","2,65"
 Central African Republic,"1,25",0,"1,67","2,35"
 Eswatini,"0,92","2,86","2,78","3,24"
 Togo,"0,92","1,79","3,33","2,94"
 Democratic Republic of the Congo,"0,75",0,"2,22","0,88"
 Kazakhstan,"0,5","3,21",5,"2,94"
 Azerbaijan,"0,5","2,5","2,78","2,65"
 Ethiopia,"0,42","3,21","6,11","1,76"
 Bahrain,"0,42","2,71","3,33","1,76"
 Cameroon,"0,33","2,14","3,89","2,06"
 Oman,"0,08","3,93","2,78","3,82"
 Uzbekistan,"0,08","1,86","2,78","0,88"
 United Arab Emirates,0,"4,29","2,22","2,35"
 China,0,"4,29","2,78","0,88"
 Saudi Arabia,0,"3,57","2,22","1,47"
 Cambodia,0,"3,21","3,89","1,76"
 Cuba,0,"3,21","3,33","2,65"
 Vietnam,0,"2,86","3,89","2,35"
 Laos,0,"2,86","1,67","0,59"
 Zimbabwe,0,"2,5","3,89","3,24"
 Republic of the Congo,0,"2,5","4,44","3,24"
 Nicaragua,0,"2,5","3,33","3,24"
 Iran,0,"2,5","3,89","1,47"
 North Korea,0,"2,5","1,67",0
 Tajikistan,0,"2,21","2,22","0,88"
 Eritrea,0,"2,14","0,56","0,59"
 Belarus,0,2,"3,89","1,76"
 Venezuela,0,"1,79","3,89","2,35"
 Sudan,0,"1,43","4,44","1,47"
 Djibouti,0,"1,29","4,44","2,35"
 Turkmenistan,0,"0,79","2,22","0,29"
 Equatorial Guinea,0,"0,43","3,33","1,47"
 Afghanistan,0,"0,07",0,"0,29"
 Burundi,0,0,"3,89","1,76"
 Libya,0,0,"3,33","2,65"
 Yemen,0,0,"3,89","0,88"
 Chad,0,0,"2,22","2,35"
 Syria,0,0,"2,78",0
 Myanmar,0,0,"1,67","0,29"
